"1","Gonzaga","34","30-4","2873","84.5","2282","67.1","17.4"
"2","Cincinnati","34","30-4","2532","74.5","1943","57.1","17.3"
"3","Michigan St.","33","29-4","2672","81.0","2138","64.8","16.2"
"4","Villanova","34","30-4","2960","87.1","2410","70.9","16.2"
"5","Purdue","34","28-6","2759","81.1","2232","65.6","15.5"
"6","Duke","33","26-7","2795","84.7","2297","69.6","15.1"
"7","Virginia","33","31-2","2229","67.5","1762","53.4","14.2"
"8","Saint Mary's (CA)","34","29-5","2629","77.3","2173","63.9","13.4"
"9","Murray St.","31","26-5","2447","78.9","2032","65.5","13.4"
"10","SFA","34","28-6","2759","81.1","2316","68.1","13.0"
"11","Louisiana","33","27-6","2753","83.4","2324","70.4","13.0"
"12","South Dakota","34","26-8","2755","81.0","2314","68.1","13.0"
"13","Houston","33","26-7","2555","77.4","2142","64.9","12.5"
"14","New Mexico St.","33","28-5","2504","75.9","2104","63.8","12.1"
"15","Northern Ky.","32","22-10","2486","77.7","2112","66.0","11.7"
"16","Wichita St.","32","25-7","2656","83.0","2283","71.3","11.7"
"17","UNC Greensboro","34","27-7","2498","73.5","2121","62.4","11.1"
"18","Michigan","35","28-7","2606","74.5","2224","63.5","10.9"
"19","Furman","33","23-10","2619","79.4","2260","68.5","10.9"
"20","South Dakota St.","34","28-6","2885","84.9","2518","74.1","10.8"
"21","Utah Valley","33","23-10","2584","78.3","2232","67.6","10.7"
"22","Kansas","34","27-7","2771","81.5","2410","70.9","10.6"
"","West Virginia","34","24-10","2707","79.6","2346","69.0","10.6"
"24","Texas Tech","33","24-9","2483","75.2","2135","64.7","10.5"
"25","Old Dominion","32","25-7","2347","73.3","2010","62.8","10.5"
"26","Nevada","34","27-7","2825","83.1","2478","72.9","10.2"
"27","Loyola Chicago","33","28-5","2390","72.4","2054","62.2","10.2"
"28","Creighton","32","21-11","2697","84.3","2375","74.2","10.1"
"","Auburn","32","25-7","2668","83.4","2346","73.3","10.1"
"30","Xavier","33","28-5","2781","84.3","2458","74.5","9.8"
"31","Arizona","34","27-7","2750","80.9","2420","71.2","9.7"
"32","San Diego St.","32","22-10","2480","77.5","2173","67.9","9.6"
"","Middle Tenn.","32","25-7","2411","75.3","2104","65.8","9.6"
"34","Boise St.","31","23-8","2428","78.3","2133","68.8","9.5"
"35","FGCU","35","23-12","2847","81.3","2515","71.9","9.5"
"36","Montana","33","26-7","2578","78.1","2268","68.7","9.4"
"37","ETSU","34","25-9","2556","75.2","2241","65.9","9.3"
"38","Grand Canyon","33","22-11","2439","73.9","2135","64.7","9.2"
"39","Ohio St.","32","24-8","2426","75.8","2134","66.7","9.1"
"40","Buffalo","34","26-8","2883","84.8","2579","75.9","8.9"
"41","Davidson","32","21-11","2446","76.4","2162","67.6","8.9"
"42","North Carolina","35","25-10","2869","82.0","2559","73.1","8.9"
"","Vermont","35","27-8","2587","73.9","2277","65.1","8.9"
"44","Western Ky.","35","25-10","2744","78.4","2446","69.9","8.5"
"45","Belmont","33","24-9","2562","77.6","2284","69.2","8.4"
"46","Bucknell","34","25-9","2759","81.1","2477","72.9","8.3"
