"1","Michigan St.","33","29-4","1348","40.8","1005","30.5","10.4"
"2","North Carolina","35","25-10","1487","42.5","1137","32.5","10.0"
"3","Wichita St.","32","25-7","1296","40.5","983","30.7","9.8"
"4","Duke","33","26-7","1382","41.9","1080","32.7","9.2"
"5","New Mexico St.","33","28-5","1369","41.5","1072","32.5","9.0"
"","Gonzaga","34","30-4","1357","39.9","1051","30.9","9.0"
"7","Boise St.","31","23-8","1189","38.4","939","30.3","8.1"
"8","Arizona","34","27-7","1246","36.6","986","29.0","7.6"
"9","Sacred Heart","31","10-21","1239","40.0","1006","32.5","7.5"
"10","UC Irvine","35","18-17","1443","41.2","1180","33.7","7.5"
"11","Cincinnati","34","30-4","1323","38.9","1073","31.6","7.4"
"12","Xavier","33","28-5","1267","38.4","1030","31.2","7.2"
"13","Albany (NY)","32","22-10","1191","37.2","964","30.1","7.1"
"14","Houston","33","26-7","1273","38.6","1044","31.6","6.9"
"15","UNC Greensboro","34","27-7","1262","37.1","1032","30.4","6.8"
"16","Utah Valley","33","23-10","1262","38.2","1040","31.5","6.7"
"","UAB","33","20-13","1257","38.1","1035","31.4","6.7"
"18","Louisiana","33","27-6","1285","38.9","1064","32.2","6.7"
"19","TCU","32","21-11","1166","36.4","964","30.1","6.3"
"20","Idaho","31","22-9","1140","36.8","946","30.5","6.3"
"21","Denver","30","15-15","1108","36.9","929","31.0","6.0"
"22","Saint Mary's (CA)","34","29-5","1143","33.6","941","27.7","5.9"
"23","Texas A&M","32","20-12","1323","41.3","1133","35.4","5.9"
"24","Coastal Caro.","32","14-18","1243","38.8","1056","33.0","5.8"
"25","Missouri St.","33","18-15","1277","38.7","1085","32.9","5.8"
"26","Baylor","33","19-14","1259","38.2","1069","32.4","5.8"
"27","Mercer","32","18-14","1107","34.6","923","28.8","5.8"
"28","Murray St.","31","26-5","1150","37.1","972","31.4","5.7"
"29","New Hampshire","31","10-21","1191","38.4","1016","32.8","5.6"
"30","Jacksonville St.","33","21-12","1257","38.1","1071","32.5","5.6"
"31","Middle Tenn.","32","25-7","1155","36.1","975","30.5","5.6"
"32","UNLV","33","20-13","1336","40.5","1152","34.9","5.6"
"33","Navy","32","20-12","1113","34.8","939","29.3","5.4"
"34","Towson","32","18-14","1220","38.1","1047","32.7","5.4"
"35","Georgia","33","18-15","1301","39.4","1123","34.0","5.4"
"","Wagner","33","23-10","1290","39.1","1112","33.7","5.4"
"37","Ohio St.","32","24-8","1172","36.6","1001","31.3","5.3"
"38","FGCU","35","23-12","1338","38.2","1151","32.9","5.3"
"39","San Diego St.","32","22-10","1206","37.7","1038","32.4","5.3"
"40","Stanford","33","18-15","1266","38.4","1093","33.1","5.2"
"41","Iowa","33","14-19","1258","38.1","1092","33.1","5.0"
"42","UNCW","32","11-21","1310","40.9","1151","36.0","5.0"
"43","N.C. Central","34","19-15","1293","38.0","1127","33.1","4.9"
"44","Maryland","32","19-13","1149","35.9","994","31.1","4.8"
"45","Montana","33","26-7","1225","37.1","1066","32.3","4.8"
"46","Georgetown","30","15-15","1151","38.4","1009","33.6","4.7"
"47","Kentucky","34","24-10","1312","38.6","1152","33.9","4.7"
"48","Syracuse","33","20-13","1235","37.4","1085","32.9","4.5"
"49","Missouri","32","20-12","1185","37.0","1043","32.6","4.4"
"50","Seton Hall","32","21-11","1222","38.2","1083","33.8","4.3"
"51","Vermont","35","27-8","1159","33.1","1007","28.8","4.3"
"52","Texas Tech","33","24-9","1186","35.9","1048","31.8","4.2"
"53","Liberty","35","21-14","1171","33.5","1026","29.3","4.1"
"54","Saint Louis","33","17-16","1188","36.0","1052","31.9","4.1"
"55","Old Dominion","32","25-7","1212","37.9","1084","33.9","4.0"
"56","ETSU","34","25-9","1262","37.1","1128","33.2","3.9"
"","SFA","34","28-6","1217","35.8","1083","31.9","3.9"
"58","South Dakota","34","26-8","1276","37.5","1145","33.7","3.9"
"59","Lipscomb","32","23-9","1247","39.0","1125","35.2","3.8"
"60","South Dakota St.","34","28-6","1325","39.0","1198","35.2","3.7"
"61","San Jose St.","30","4-26","1076","35.9","967","32.2","3.6"
"62","Sam Houston St.","33","19-14","1233","37.4","1114","33.8","3.6"
"63","Northern Ky.","32","22-10","1175","36.7","1061","33.2","3.6"
"64","North Texas","32","15-17","1198","37.4","1088","34.0","3.4"
"65","Seattle U","33","20-13","1254","38.0","1141","34.6","3.4"
"66","West Virginia","34","24-10","1288","37.9","1172","34.5","3.4"
"67","Colorado","32","17-15","1200","37.5","1091","34.1","3.4"
"68","Appalachian St.","33","15-18","1291","39.1","1179","35.7","3.4"
"69","Bethune-Cookman","32","18-14","1346","42.1","1239","38.7","3.3"
"","Auburn","32","25-7","1221","38.2","1114","34.8","3.3"
"71","UT Arlington","34","21-13","1333","39.2","1221","35.9","3.3"
"72","Radford","35","23-12","1216","34.7","1101","31.5","3.3"
"73","Oral Roberts","32","11-21","1227","38.3","1122","35.1","3.3"
"74","Central Conn. St.","32","14-18","1130","35.3","1029","32.2","3.2"
"75","South Carolina","33","17-16","1226","37.2","1123","34.0","3.1"
"","Texas St.","33","15-18","1144","34.7","1041","31.5","3.1"
"77","Florida St.","31","20-11","1179","38.0","1083","34.9","3.1"
"78","Oregon","35","23-12","1235","35.3","1127","32.2","3.1"
"79","Tulsa","31","19-12","1177","38.0","1084","35.0","3.0"
"80","UC Santa Barbara","32","23-9","1176","36.8","1081","33.8","3.0"
"81","Wright St.","34","25-9","1234","36.3","1135","33.4","2.9"
"82","Villanova","34","30-4","1210","35.6","1112","32.7","2.9"
"83","Rutgers","34","15-19","1316","38.7","1221","35.9","2.8"
"84","Norfolk St.","33","14-19","1270","38.5","1178","35.7","2.8"
"85","Oregon St.","32","16-16","1118","34.9","1030","32.2","2.8"
"86","Penn St.","34","21-13","1213","35.7","1121","33.0","2.7"
"87","UCLA","33","21-12","1282","38.8","1194","36.2","2.7"
"88","Austin Peay","32","18-14","1129","35.3","1045","32.7","2.6"
"89","Rider","32","22-10","1253","39.2","1170","36.6","2.6"
"90","Bradley","33","20-13","1179","35.7","1094","33.2","2.6"
"91","Fresno St.","32","21-11","1083","33.8","1001","31.3","2.6"
"92","Purdue","34","28-6","1191","35.0","1104","32.5","2.6"
"93","Buffalo","34","26-8","1326","39.0","1240","36.5","2.5"
"94","DePaul","31","11-20","1160","37.4","1083","34.9","2.5"
"95","Harvard","31","18-13","1080","34.8","1004","32.4","2.5"
"96","Southern U.","33","15-18","1296","39.3","1217","36.9","2.4"
"97","Northern Colo.","34","22-12","1286","37.8","1205","35.4","2.4"
"98","Grand Canyon","33","22-11","1280","38.8","1202","36.4","2.4"
"99","Notre Dame","35","21-14","1284","36.7","1205","34.4","2.3"
"","Western Ky.","35","25-10","1249","35.7","1170","33.4","2.3"
"101","UTSA","33","19-14","1326","40.2","1253","38.0","2.2"
"102","Oklahoma St.","34","20-14","1271","37.4","1197","35.2","2.2"
"103","CSU Bakersfield","30","12-18","1071","35.7","1007","33.6","2.1"
"104","High Point","30","14-16","1039","34.6","976","32.5","2.1"
"105","Clemson","32","23-9","1135","35.5","1069","33.4","2.1"
"106","Virginia","33","31-2","1078","32.7","1010","30.6","2.1"
"107","Boston College","35","19-16","1293","36.9","1221","34.9","2.1"
"108","Morehead St.","29","8-21","1041","35.9","983","33.9","2.0"
"109","Belmont","33","24-9","1133","34.3","1068","32.4","2.0"
"110","Hofstra","31","19-12","1103","35.6","1042","33.6","2.0"
"111","Lamar University","32","19-13","1204","37.6","1142","35.7","1.9"
"112","Morgan St.","32","13-19","1187","37.1","1126","35.2","1.9"
"113","Cal St. Fullerton","31","20-11","1089","35.1","1030","33.2","1.9"
"114","Bowling Green","32","16-16","1226","38.3","1167","36.5","1.8"
"115","Winthrop","31","19-12","1126","36.3","1069","34.5","1.8"
"","New Orleans","31","15-16","1067","34.4","1010","32.6","1.8"
"117","Miami (OH)","33","16-17","1209","36.6","1149","34.8","1.8"
"","Tennessee","33","25-8","1193","36.2","1133","34.3","1.8"
"119","UNI","32","16-16","1109","34.7","1052","32.9","1.8"
"120","Mississippi St.","33","22-11","1189","36.0","1132","34.3","1.7"
"121","Penn","32","24-8","1206","37.7","1151","36.0","1.7"
"","Duquesne","32","16-16","1149","35.9","1094","34.2","1.7"
"123","Toledo","34","23-11","1252","36.8","1194","35.1","1.7"
"124","Indiana St.","31","13-18","1131","36.5","1079","34.8","1.7"
"125","Long Beach St.","33","15-18","1194","36.2","1139","34.5","1.7"
"126","Loyola Chicago","33","28-5","1067","32.3","1013","30.7","1.6"
"127","Charleston So.","31","15-16","1071","34.5","1021","32.9","1.6"
"128","Siena","32","8-24","1146","35.8","1095","34.2","1.6"
"129","BYU","34","24-10","1108","32.6","1054","31.0","1.6"
"130","UIC","32","17-15","1230","38.4","1180","36.9","1.6"
"","Ball St.","32","19-13","1210","37.8","1160","36.3","1.6"
"132","Bucknell","34","25-9","1253","36.9","1200","35.3","1.6"
"","Memphis","34","21-13","1171","34.4","1118","32.9","1.6"
"134","Hampton","35","19-16","1372","39.2","1319","37.7","1.5"
"135","LIU Brooklyn","35","18-17","1327","37.9","1275","36.4","1.5"
"136","VCU","33","18-15","1203","36.5","1155","35.0","1.5"
"","Northeastern","33","23-10","1083","32.8","1035","31.4","1.5"
"138","Monmouth","31","11-20","1115","36.0","1070","34.5","1.5"
"","Indiana","31","16-15","1099","35.5","1054","34.0","1.5"
"140","Wake Forest","31","11-20","1108","35.7","1064","34.3","1.4"
"141","North Dakota St.","32","15-17","1101","34.4","1057","33.0","1.4"
"","Davidson","32","21-11","1050","32.8","1006","31.4","1.4"
"143","Houston Baptist","31","6-25","1218","39.3","1177","38.0","1.3"
"144","Valparaiso","32","15-17","1116","34.9","1074","33.6","1.3"
"145","Butler","33","20-13","1122","34.0","1079","32.7","1.3"
"146","Portland St.","33","20-13","1270","38.5","1229","37.2","1.2"
"147","Youngstown St.","32","8-24","1164","36.4","1125","35.2","1.2"
"148","Southern California","35","24-11","1219","34.8","1177","33.6","1.2"
"149","Pacific","32","14-18","1086","33.9","1048","32.8","1.2"
"150","George Mason","33","16-17","1213","36.8","1174","35.6","1.2"
"151","Milwaukee","33","16-17","1146","34.7","1108","33.6","1.2"
"152","Evansville","32","17-15","1059","33.1","1023","32.0","1.1"
"153","Grambling","31","17-14","1199","38.7","1165","37.6","1.1"
"154","Creighton","32","21-11","1161","36.3","1126","35.2","1.1"
"155","George Washington","33","15-18","1120","33.9","1084","32.8","1.1"
"156","Colorado St.","32","11-21","1200","37.5","1166","36.4","1.1"
"","Nicholls St.","32","21-11","1189","37.2","1155","36.1","1.1"
"","Western Mich.","32","17-15","1130","35.3","1096","34.3","1.1"
"159","N.C. A&T","35","20-15","1252","35.8","1215","34.7","1.1"
"160","Brown","27","11-16","987","36.6","959","35.5","1.0"
"161","A&M-Corpus Christi","29","11-18","1009","34.8","979","33.8","1.0"
"162","Hawaii","30","17-13","996","33.2","965","32.2","1.0"
"163","Gardner-Webb","32","14-18","1142","35.7","1109","34.7","1.0"
"164","Central Mich.","34","20-14","1241","36.5","1206","35.5","1.0"
"165","UNC Asheville","34","21-13","1160","34.1","1126","33.1","1.0"
"","Pepperdine","32","6-26","1077","33.7","1045","32.7","1.0"
"167","Fla. Atlantic","31","12-19","1195","38.5","1166","37.6","0.9"
"168","NJIT","30","14-16","1063","35.4","1038","34.6","0.8"
"169","California","32","8-24","1140","35.6","1116","34.9","0.8"
"170","Kent St.","34","17-17","1219","35.9","1194","35.1","0.7"
"171","UCF","32","19-13","1108","34.6","1085","33.9","0.7"
