"1","SFA","34","28-6","350","10.3"
"2","Portland St.","33","20-13","327","9.9"
"3","Nicholls St.","32","21-11","307","9.6"
"4","Savannah St.","32","15-17","301","9.4"
"","The Citadel","32","11-21","301","9.4"
"6","Fordham","31","9-22","283","9.1"
"7","Eastern Mich.","33","21-12","290","8.8"
"8","Lamar University","32","19-13","280","8.8"
"9","St. John's (NY)","33","16-17","282","8.5"
"10","Youngstown St.","32","8-24","266","8.3"
"11","NJIT","30","14-16","246","8.2"
"12","Stony Brook","32","13-19","261","8.2"
"13","Abilene Christian","32","16-16","260","8.1"
"14","Furman","33","23-10","265","8.0"
"15","West Virginia","34","24-10","273","8.0"
"16","Purdue Fort Wayne","33","18-15","264","8.0"
"17","Washington","32","20-12","255","8.0"
"18","Western Caro.","32","13-19","254","7.9"
"19","North Dakota","32","12-20","253","7.9"
"20","Ark.-Pine Bluff","35","14-21","275","7.9"
"21","ETSU","34","25-9","265","7.8"
"22","Montana","33","26-7","257","7.8"
"","Kansas St.","33","22-11","257","7.8"
"24","Robert Morris","33","16-17","256","7.8"
"25","UNC Greensboro","34","27-7","263","7.7"
"26","Grambling","31","17-14","239","7.7"
"27","UTRGV","32","15-17","245","7.7"
"28","Miami (OH)","33","16-17","252","7.6"
"","Tennessee Tech","33","19-14","252","7.6"
"30","Richmond","32","12-20","244","7.6"
"31","LSU","31","17-14","235","7.6"
"32","FIU","32","14-18","242","7.6"
"33","Prairie View","34","16-18","257","7.6"
"34","Louisiana","33","27-6","249","7.5"
"35","Rider","32","22-10","241","7.5"
"36","UMBC","34","24-10","256","7.5"
"37","Indiana St.","31","13-18","233","7.5"
"38","Duke","33","26-7","248","7.5"
"","Southern Ill.","33","20-13","248","7.5"
"40","Illinois","32","14-18","240","7.5"
"","NC State","32","21-11","240","7.5"
"","Rhode Island","32","25-7","240","7.5"
"43","Old Dominion","32","25-7","239","7.5"
"44","Auburn","32","25-7","238","7.4"
"45","Penn St.","34","21-13","252","7.4"
"","UNC Asheville","34","21-13","252","7.4"
"47","High Point","30","14-16","222","7.4"
"48","SMU","33","17-16","244","7.4"
"","Texas Tech","33","24-9","244","7.4"
"50","Boston U.","31","15-16","229","7.4"
"51","New Mexico","34","19-15","251","7.4"
"52","Northern Ky.","32","22-10","236","7.4"
"53","VMI","30","9-21","221","7.4"
"54","Georgia St.","34","24-10","250","7.4"
"55","Jackson St.","32","12-20","235","7.3"
"","Valparaiso","32","15-17","235","7.3"
"57","Western Ky.","35","25-10","256","7.3"
"","FGCU","35","23-12","256","7.3"
"59","Cincinnati","34","30-4","248","7.3"
"60","New Orleans","31","15-16","226","7.3"
"61","St. Francis Brooklyn","31","13-18","225","7.3"
"62","Chicago St.","32","3-29","232","7.3"
"63","Syracuse","33","20-13","239","7.2"
"64","American","30","6-24","217","7.2"
"65","Charleston So.","31","15-16","224","7.2"
"66","Kennesaw St.","30","10-20","216","7.2"
"67","Samford","32","10-22","230","7.2"
"68","Tennessee St.","30","15-15","214","7.1"
"69","James Madison","32","10-22","228","7.1"
"","Stetson","32","12-20","228","7.1"
"71","Fairleigh Dickinson","31","13-18","220","7.1"
"72","UC Davis","32","22-10","226","7.1"
"73","St. Bonaventure","33","26-7","233","7.1"
