"1","Michigan St.","34","29-5","699","20.6"
"2","SFA","32","27-5","605","18.9"
"3","UAB","32","26-6","591","18.5"
"4","North Carolina","34","28-6","616","18.1"
"5","Baylor","33","22-11","587","17.8"
"6","SMU","30","25-5","528","17.6"
"7","Purdue","34","26-8","598","17.6"
"8","Evansville","34","25-9","595","17.5"
"9","Belmont","31","20-11","532","17.2"
"10","Milwaukee","33","20-13","566","17.2"
"11","UT Arlington","33","23-10","561","17.0"
"","Portland St.","31","13-18","527","17.0"
"13","Sam Houston St.","34","18-16","575","16.9"
"14","Pittsburgh","32","21-11","541","16.9"
"15","Texas A&M","34","26-8","574","16.9"
"16","Iona","32","22-10","539","16.8"
"17","Marshall","33","17-16","554","16.8"
"18","Saint Mary's (CA)","33","28-5","553","16.8"
"19","Lipscomb","33","12-21","548","16.6"
"20","Stony Brook","32","26-6","531","16.6"
"","Richmond","32","16-16","531","16.6"
"22","Iowa St.","32","21-11","529","16.5"
"23","BYU","33","23-10","545","16.5"
"24","Northwestern","32","20-12","527","16.5"
"","Toledo","32","17-15","527","16.5"
"26","North Florida","34","22-12","559","16.4"
"27","Xavier","32","27-5","524","16.4"
"28","Arkansas","32","16-16","520","16.3"
"29","William & Mary","31","20-11","501","16.2"
"30","Marquette","33","20-13","533","16.2"
"31","Villanova","34","29-5","549","16.1"
"32","Iowa","31","21-10","496","16.0"
"33","Indiana","32","25-7","511","16.0"
"34","Kansas","34","30-4","542","15.9"
"35","Eastern Ky.","31","15-16","494","15.9"
"36","Providence","33","23-10","525","15.9"
"37","Bucknell","30","17-13","475","15.8"
"38","Hawaii","32","27-5","504","15.8"
"39","NJIT","31","17-14","488","15.7"
"40","UCLA","32","15-17","502","15.7"
"41","CSU Bakersfield","32","24-8","501","15.7"
"42","Utah","34","26-8","532","15.6"
"43","Oakland","32","21-11","500","15.6"
"44","Fordham","30","17-13","468","15.6"
"45","Fairfield","32","19-13","498","15.6"
"","The Citadel","32","10-22","498","15.6"
"47","Loyola Marymount","31","14-17","482","15.5"
"48","UTEP","33","19-14","512","15.5"
"49","Duquesne","32","16-16","496","15.5"
"50","Cincinnati","32","22-10","495","15.5"
"51","Northwestern St.","28","8-20","433","15.5"
"52","High Point","32","21-11","493","15.4"
"53","South Dakota","32","14-18","492","15.4"
"54","LSU","33","19-14","507","15.4"
"55","UTRGV","30","8-22","459","15.3"
"56","Army West Point","32","19-13","489","15.3"
"57","Stetson","34","12-22","519","15.3"
"58","UC Santa Barbara","31","18-13","473","15.3"
"59","Elon","32","16-16","488","15.3"
"60","Purdue Fort Wayne","33","24-9","503","15.2"
"","Creighton","33","19-14","503","15.2"
"62","UC Irvine","34","25-9","518","15.2"
"63","Long Beach St.","35","20-15","532","15.2"
"64","East Carolina","32","12-20","486","15.2"
"65","Yale","28","22-6","425","15.2"
"66","USC Upstate","32","10-22","484","15.1"
"67","UNLV","33","18-15","499","15.1"
"68","Saint Joseph's","34","27-7","514","15.1"
"69","Harvard","30","14-16","452","15.1"
"70","Davidson","33","20-13","497","15.1"
"71","Hofstra","33","24-9","496","15.0"
"72","Memphis","34","19-15","510","15.0"
"73","Mercer","34","19-15","509","15.0"
"","Michigan","34","22-12","509","15.0"
"75","Princeton","28","22-6","419","15.0"
"76","Georgetown","33","15-18","492","14.9"
"77","Lehigh","32","17-15","477","14.9"
"78","Southern California","33","21-12","491","14.9"
"","Ball St.","33","20-13","491","14.9"
"80","Brown","28","8-20","414","14.8"
"81","West Virginia","34","26-8","502","14.8"
"82","Vanderbilt","33","19-14","487","14.8"
"83","Northeastern","33","18-15","485","14.7"
"84","Wofford","32","15-17","470","14.7"
"","Dayton","32","25-7","470","14.7"
"86","Utah St.","31","16-15","454","14.6"
"87","Youngstown St.","32","11-21","467","14.6"
"88","Charlotte","33","14-19","481","14.6"
"89","Chattanooga","34","29-5","495","14.6"
"90","Columbia","31","21-10","451","14.5"
"91","Oklahoma","32","25-7","465","14.5"
"92","Arizona","33","25-8","479","14.5"
"93","Utah Valley","30","12-18","435","14.5"
"94","Akron","35","26-9","507","14.5"
"95","San Jose St.","31","9-22","449","14.5"
"96","Siena","34","21-13","492","14.5"
"97","Maine","30","8-22","433","14.4"
"98","Washington","33","19-14","476","14.4"
"99","Kentucky","34","26-8","490","14.4"
"100","New Mexico","32","17-15","461","14.4"
"101","Tennessee Tech","30","19-11","432","14.4"
"102","Butler","31","21-10","445","14.4"
"","Murray St.","31","17-14","445","14.4"
"104","VCU","34","24-10","488","14.4"
"105","Virginia","33","26-7","473","14.3"
"106","Fairleigh Dickinson","33","18-15","472","14.3"
"","Southeastern La.","33","12-21","472","14.3"
"108","Denver","31","16-15","443","14.3"
"109","Wichita St.","33","25-8","471","14.3"
"","Texas Southern","33","18-15","471","14.3"
"111","Pepperdine","31","18-13","442","14.3"
"112","Omaha","31","18-13","441","14.2"
"113","Northern Ill.","33","21-12","469","14.2"
"114","Cal Poly","30","10-20","425","14.2"
"","Lamar University","30","11-19","425","14.2"
"116","La.-Monroe","34","20-14","481","14.1"
"117","Morehead St.","32","20-12","452","14.1"
"118","Canisius","33","14-19","466","14.1"
"119","New Mexico St.","34","23-11","480","14.1"
"120","CSUN","30","10-20","423","14.1"
"121","Maryland","33","25-8","465","14.1"
"122","Manhattan","31","13-18","436","14.1"
"123","Syracuse","32","19-13","450","14.1"
"124","George Washington","33","23-10","463","14.0"
"125","Ohio","32","21-11","448","14.0"
