"262","CSUN","30","10-20","2143","71.4","2261","75.4","-3.9"
"263","Sacred Heart","30","12-18","2217","73.9","2336","77.9","-4.0"
"264","Cal St. Fullerton","30","10-20","2104","70.1","2227","74.2","-4.1"
"265","Brown","28","8-20","2040","72.9","2155","77.0","-4.1"
"266","South Alabama","33","14-19","2284","69.2","2426","73.5","-4.3"
"267","Jacksonville St.","31","8-23","2100","67.7","2234","72.1","-4.3"
"","Morgan St.","31","9-22","2089","67.4","2223","71.7","-4.3"
"269","Holy Cross","33","14-19","2156","65.3","2299","69.7","-4.3"
"270","Manhattan","31","13-18","2133","68.8","2268","73.2","-4.4"
"271","Missouri","31","10-21","2126","68.6","2262","73.0","-4.4"
"272","Southeastern La.","33","12-21","2344","71.0","2489","75.4","-4.4"
"273","Air Force","32","14-18","2189","68.4","2330","72.8","-4.4"
"274","Drake","31","7-24","2093","67.5","2230","71.9","-4.4"
"275","TCU","33","12-21","2209","66.9","2359","71.5","-4.5"
"276","Tulane","34","12-22","2240","65.9","2398","70.5","-4.6"
"277","Rice","32","12-20","2427","75.8","2576","80.5","-4.7"
"278","Miami (OH)","33","13-20","2087","63.2","2249","68.2","-4.9"
"279","Alcorn","30","15-15","2015","67.2","2164","72.1","-5.0"
"280","Wake Forest","31","11-20","2295","74.0","2450","79.0","-5.0"
"281","Kennesaw St.","31","11-20","2239","72.2","2399","77.4","-5.2"
"282","Savannah St.","31","16-15","1931","62.3","2092","67.5","-5.2"
"283","Missouri St.","32","13-19","2153","67.3","2321","72.5","-5.3"
"284","Presbyterian","31","11-20","2093","67.5","2259","72.9","-5.4"
"285","Quinnipiac","30","9-21","1969","65.6","2131","71.0","-5.4"
"286","George Mason","32","11-21","2140","66.9","2313","72.3","-5.4"
"287","USC Upstate","32","10-22","2315","72.3","2495","78.0","-5.6"
"288","IUPUI","32","13-19","2181","68.2","2362","73.8","-5.7"
"289","Loyola Maryland","30","9-21","2090","69.7","2260","75.3","-5.7"
"290","Grambling","30","7-23","1851","61.7","2023","67.4","-5.7"
"291","Robert Morris","32","10-22","2082","65.1","2267","70.8","-5.8"
"292","Troy","31","9-22","2145","69.2","2329","75.1","-5.9"
"293","Minnesota","31","8-23","2108","68.0","2294","74.0","-6.0"
"294","Santa Clara","31","11-20","2083","67.2","2272","73.3","-6.1"
"295","VMI","30","9-21","2081","69.4","2264","75.5","-6.1"
"296","Northern Colo.","31","10-21","2292","73.9","2482","80.1","-6.1"
