"1","Kansas","30","4","88.2"
"2","Little Rock","29","4","87.9"
"3","Villanova","29","5","85.3"
"","Chattanooga","29","5","85.3"
"","Michigan St.","29","5","85.3"
"6","Saint Mary's (CA)","28","5","84.8"
"7","SFA","27","5","84.4"
"","Hawaii","27","5","84.4"
"","Xavier","27","5","84.4"
"10","SMU","25","5","83.3"
"11","Oregon","28","6","82.4"
"","North Carolina","28","6","82.4"
"13","Valparaiso","27","6","81.8"
"14","Stony Brook","26","6","81.3"
"","UAB","26","6","81.3"
"16","Saint Joseph's","27","7","79.4"
"","Monmouth","27","7","79.4"
"18","Gonzaga","26","7","78.8"
"","Virginia","26","7","78.8"
"20","Princeton","22","6","78.6"
"","Yale","22","6","78.6"
"22","Oklahoma","25","7","78.1"
"","South Dakota St.","25","7","78.1"
"","UNCW","25","7","78.1"
"","A&M-Corpus Christi","25","7","78.1"
"","Dayton","25","7","78.1"
"","Indiana","25","7","78.1"
"","Miami (FL)","25","7","78.1"
"29","Kentucky","26","8","76.5"
"","Weber St.","26","8","76.5"
"","Utah","26","8","76.5"
"","Purdue","26","8","76.5"
"","Texas A&M","26","8","76.5"
"","West Virginia","26","8","76.5"
"35","Wichita St.","25","8","75.8"
"","Seton Hall","25","8","75.8"
"","Arizona","25","8","75.8"
"","South Carolina","25","8","75.8"
"","Maryland","25","8","75.8"
"40","CSU Bakersfield","24","8","75.0"
"","Albany (NY)","24","8","75.0"
"42","Akron","26","9","74.3"
"43","Louisville","23","8","74.2"
"44","UC Irvine","25","9","73.5"
"","Fresno St.","25","9","73.5"
"","San Diego St.","25","9","73.5"
"","Evansville","25","9","73.5"
"48","St. Bonaventure","22","8","73.3"
"49","Hofstra","24","9","72.7"
"","Middle Tenn.","24","9","72.7"
"","Purdue Fort Wayne","24","9","72.7"
"52","Louisiana Tech","23","9","71.9"
"","Winthrop","23","9","71.9"
"54","Houston","22","9","71.0"
"55","VCU","24","10","70.6"
"","UConn","24","10","70.6"
"57","BYU","23","10","69.7"
"","California","23","10","69.7"
"","UT Arlington","23","10","69.7"
"","Duke","23","10","69.7"
"","Providence","23","10","69.7"
"","George Washington","23","10","69.7"
"63","Cincinnati","22","10","68.8"
"","Southern Ill.","22","10","68.8"
"","Wagner","22","10","68.8"
"","Iona","22","10","68.8"
"67","Butler","21","10","67.7"
"","Hampton","21","10","67.7"
"","Iowa","21","10","67.7"
"","Columbia","21","10","67.7"
"71","ETSU","23","11","67.6"
"","New Mexico St.","23","11","67.6"
"73","Baylor","22","11","66.7"
"","UNC Asheville","22","11","66.7"
"","Colorado","22","11","66.7"
"76","Green Bay","23","12","65.7"
"77","Iowa St.","21","11","65.6"
"","James Madison","21","11","65.6"
"","Temple","21","11","65.6"
"","Oakland","21","11","65.6"
"","Notre Dame","21","11","65.6"
"","Ohio","21","11","65.6"
"","Pittsburgh","21","11","65.6"
"","High Point","21","11","65.6"
"","Montana","21","11","65.6"
"86","UNI","22","12","64.7"
"","Southern U.","22","12","64.7"
"","North Florida","22","12","64.7"
"","Michigan","22","12","64.7"
"90","Belmont","20","11","64.5"
"","Tennessee St.","20","11","64.5"
"","Tulsa","20","11","64.5"
"","William & Mary","20","11","64.5"
"94","Northern Ill.","21","12","63.6"
"","Southern California","21","12","63.6"
"","Idaho","21","12","63.6"
"97","Tennessee Tech","19","11","63.3"
"","Coastal Caro.","19","11","63.3"
"99","Wright St.","22","13","62.9"
"","Old Dominion","22","13","62.9"
"101","Ole Miss","20","12","62.5"
"","Towson","20","12","62.5"
"","North Dakota St.","20","12","62.5"
"","Northwestern","20","12","62.5"
"","Texas","20","12","62.5"
"","Wisconsin","20","12","62.5"
"","Boise St.","20","12","62.5"
"","Morehead St.","20","12","62.5"
"109","Vermont","21","13","61.8"
"","Siena","21","13","61.8"
"","Ohio St.","21","13","61.8"
"","FGCU","21","13","61.8"
"113","Texas Tech","19","12","61.3"
"","New Hampshire","19","12","61.3"
"","Oregon St.","19","12","61.3"
"116","Ball St.","20","13","60.6"
"","Florida St.","20","13","60.6"
"","Marquette","20","13","60.6"
"","Milwaukee","20","13","60.6"
"","Davidson","20","13","60.6"
"121","Army West Point","19","13","59.4"
"","Fairfield","19","13","59.4"
"","Syracuse","19","13","59.4"
"","Kent St.","19","13","59.4"
"","Nevada","19","13","59.4"
"","Georgia","19","13","59.4"
"127","Buffalo","20","14","58.8"
"","Florida","20","14","58.8"
"","La.-Monroe","20","14","58.8"
"130","Pepperdine","18","13","58.1"
"","UC Santa Barbara","18","13","58.1"
"","Omaha","18","13","58.1"
"133","Georgia Tech","19","14","57.6"
"","Vanderbilt","19","14","57.6"
"","UTEP","19","14","57.6"
"","LSU","19","14","57.6"
"","Creighton","19","14","57.6"
"","UT Martin","19","14","57.6"
"","Washington","19","14","57.6"
"","Virginia Tech","19","14","57.6"
"","Navy","19","14","57.6"
"142","Long Beach St.","20","15","57.1"
"","Jackson St.","20","15","57.1"
"144","Bucknell","17","13","56.7"
"","Fordham","17","13","56.7"
"146","Illinois St.","18","14","56.3"
"","Boston U.","18","14","56.3"
"148","Furman","19","15","55.9"
"","South Carolina St.","19","15","55.9"
"","Mercer","19","15","55.9"
"","Memphis","19","15","55.9"
"152","NJIT","17","14","54.8"
"","Louisiana","17","14","54.8"
"","Murray St.","17","14","54.8"
"","Clemson","17","14","54.8"
"","Col. of Charleston","17","14","54.8"
"157","Texas Southern","18","15","54.5"
"","Eastern Mich.","18","15","54.5"
"","Fairleigh Dickinson","18","15","54.5"
"","UNLV","18","15","54.5"
"","Northeastern","18","15","54.5"
"","Alabama","18","15","54.5"
"163","Georgia St.","16","14","53.3"
"164","Lehigh","17","15","53.1"
"","Toledo","17","15","53.1"
"","New Mexico","17","15","53.1"
"","North Dakota","17","15","53.1"
"","Rhode Island","17","15","53.1"
"","Central Mich.","17","15","53.1"
"","Eastern Wash.","17","15","53.1"
"171","Colorado St.","18","16","52.9"
"","Sam Houston St.","18","16","52.9"
"","Western Ky.","18","16","52.9"
"174","Detroit Mercy","16","15","51.6"
"","Utah St.","16","15","51.6"
"","Savannah St.","16","15","51.6"
"","Radford","16","15","51.6"
"","Denver","16","15","51.6"
"","LIU Brooklyn","16","15","51.6"
"","Idaho St.","16","15","51.6"
"181","Norfolk St.","17","16","51.5"
"","Marshall","17","16","51.5"
"","Kansas St.","17","16","51.5"
"","Houston Baptist","17","16","51.5"
"","Gardner-Webb","17","16","51.5"
"186","Austin Peay","18","17","51.4"
"187","Arkansas","16","16","50.0"
"","Elon","16","16","50.0"
"","Richmond","16","16","50.0"
"","Penn St.","16","16","50.0"
"","Jacksonville","16","16","50.0"
"","Duquesne","16","16","50.0"
"","San Francisco","15","15","50.0"
"","Stanford","15","15","50.0"
"","Alcorn","15","15","50.0"
"196","Western Caro.","16","17","48.5"
"","NC State","16","17","48.5"
"198","Texas St.","15","16","48.4"
"","Eastern Ky.","15","16","48.4"
"200","Nebraska","16","18","47.1"
"","Bowling Green","16","18","47.1"
"202","Arizona St.","15","17","46.9"
"","Wofford","15","17","46.9"
"","UCLA","15","17","46.9"
"","St. Francis Brooklyn","15","17","46.9"
"","Indiana St.","15","17","46.9"
"","Loyola Chicago","15","17","46.9"
"208","Saint Peter's","14","16","46.7"
"","Seattle U","14","16","46.7"
