"1","Saint Mary's (CA)","33","28-5","903","1773","50.9"
"2","Iowa St.","32","21-11","998","1990","50.2"
"3","Indiana","32","25-7","934","1864","50.1"
"4","SMU","30","25-5","858","1727","49.7"
"5","Belmont","31","20-11","888","1793","49.5"
"6","Kansas","34","30-4","976","1974","49.4"
"7","Eastern Ky.","31","15-16","864","1760","49.1"
"8","Evansville","34","25-9","879","1795","49.0"
"9","Eastern Wash.","32","17-15","911","1862","48.9"
"10","Utah","34","26-8","928","1898","48.9"
"11","Maryland","33","25-8","876","1794","48.8"
"12","Vermont","34","21-13","915","1877","48.7"
"13","Virginia","33","26-7","849","1743","48.7"
"14","Gonzaga","33","26-7","929","1910","48.6"
"15","Weber St.","34","26-8","887","1831","48.4"
"16","North Florida","34","22-12","1000","2065","48.4"
"17","Michigan St.","34","29-5","979","2024","48.4"
"18","SFA","32","27-5","926","1915","48.4"
"19","Arizona","33","25-8","926","1922","48.2"
"20","Richmond","32","16-16","890","1848","48.2"
"21","William & Mary","31","20-11","843","1755","48.0"
"22","FGCU","34","21-13","983","2048","48.0"
"23","UAB","32","26-6","916","1911","47.9"
"24","North Carolina","34","28-6","1047","2187","47.9"
"25","Kentucky","34","26-8","971","2029","47.9"
"26","High Point","32","21-11","884","1852","47.7"
"27","Portland St.","31","13-18","908","1904","47.7"
"28","Miami (FL)","32","25-7","837","1756","47.7"
"29","Stony Brook","32","26-6","913","1917","47.6"
"30","Winthrop","32","23-9","890","1869","47.6"
"31","Houston Baptist","33","17-16","876","1842","47.6"
"32","Denver","31","16-15","689","1449","47.6"
"33","Omaha","31","18-13","919","1943","47.3"
"34","Ohio","32","21-11","859","1818","47.2"
"35","Purdue","34","26-8","934","1980","47.2"
"36","Notre Dame","32","21-11","869","1844","47.1"
"37","Yale","28","22-6","744","1580","47.1"
"38","Western Ky.","34","18-16","925","1970","47.0"
"39","Creighton","33","19-14","921","1964","46.9"
"40","Louisville","31","23-8","866","1847","46.9"
"41","FIU","32","13-19","834","1779","46.9"
"42","Marquette","33","20-13","884","1888","46.8"
"43","Villanova","34","29-5","905","1936","46.7"
"44","Oregon","34","28-6","933","1997","46.7"
"45","Houston","31","22-9","872","1868","46.7"
"46","Purdue Fort Wayne","33","24-9","913","1956","46.7"
"47","South Dakota","32","14-18","912","1954","46.7"
"48","Baylor","33","22-11","903","1935","46.7"
"49","Princeton","28","22-6","772","1655","46.6"
"50","Siena","34","21-13","929","1992","46.6"
"51","Michigan","34","22-12","898","1926","46.6"
"52","Florida St.","33","20-13","924","1983","46.6"
"53","Marshall","33","17-16","1017","2183","46.6"
"54","Butler","31","21-10","868","1864","46.6"
"55","Bucknell","30","17-13","803","1725","46.6"
"56","UTEP","33","19-14","896","1926","46.5"
"57","New Mexico","32","17-15","829","1782","46.5"
"58","Detroit Mercy","31","16-15","898","1931","46.5"
"59","Montana","32","21-11","812","1750","46.4"
"60","Austin Peay","35","18-17","920","1988","46.3"
"61","ETSU","34","23-11","924","1998","46.2"
"62","New Mexico St.","34","23-11","887","1918","46.2"
"63","BYU","33","23-10","979","2118","46.2"
"64","Hawaii","32","27-5","843","1825","46.2"
"65","California","33","23-10","867","1881","46.1"
"66","UC Irvine","34","25-9","863","1876","46.0"
"67","Toledo","32","17-15","865","1881","46.0"
"68","LSU","33","19-14","915","1990","46.0"
"69","Pittsburgh","32","21-11","860","1871","46.0"
"70","Dayton","32","25-7","818","1780","46.0"
"71","Louisiana Tech","32","23-9","886","1928","46.0"
"72","UConn","34","24-10","900","1959","45.9"
"73","Duke","33","23-10","905","1972","45.9"
"74","Albany (NY)","32","24-8","812","1770","45.9"
"75","Tennessee Tech","30","19-11","771","1681","45.9"
"76","Oakland","32","21-11","920","2006","45.9"
"77","Oklahoma","32","25-7","884","1928","45.9"
"78","Duquesne","32","16-16","891","1944","45.8"
"79","Fairleigh Dickinson","33","18-15","929","2029","45.8"
"80","La.-Monroe","34","20-14","896","1957","45.8"
"81","UNC Asheville","33","22-11","877","1916","45.8"
"82","Texas Southern","33","18-15","848","1853","45.8"
"83","Little Rock","33","29-4","836","1827","45.8"
"84","Southern California","33","21-12","954","2085","45.8"
"85","UNI","34","22-12","801","1751","45.7"
"86","Oral Roberts","31","14-17","832","1821","45.7"
"87","Coastal Caro.","30","19-11","792","1734","45.7"
"88","Mississippi St.","31","14-17","850","1862","45.6"
"89","Northwestern St.","28","8-20","770","1687","45.6"
"90","Chattanooga","34","29-5","869","1904","45.6"
"91","Washington St.","31","9-22","805","1764","45.6"
"92","Milwaukee","33","20-13","879","1927","45.6"
"93","Vanderbilt","33","19-14","857","1879","45.6"
"94","Iona","32","22-10","888","1947","45.6"
