"1","Virginia","32","29-3","1762","55.1"
"2","Michigan","34","28-6","1991","58.6"
"3","Kansas St.","33","25-8","1955","59.2"
"4","Texas Tech","32","26-6","1897","59.3"
"5","Liberty","34","28-6","2066","60.8"
"","Loyola Chicago","34","20-14","2066","60.8"
"7","Old Dominion","34","26-8","2069","60.9"
"8","Houston","34","31-3","2082","61.2"
"9","Wisconsin","33","23-10","2027","61.4"
"10","VCU","32","25-7","1971","61.6"
"11","Virginia Tech","32","24-8","1987","62.1"
"12","Cincinnati","34","28-6","2115","62.2"
"13","Vermont","33","27-6","2067","62.6"
"14","Manhattan","32","11-21","2011","62.8"
"15","Loyola Marymount","31","20-11","1951","62.9"
"16","North Texas","33","21-12","2077","62.9"
"17","Oregon","35","23-12","2203","62.9"
"18","St. Bonaventure","34","18-16","2145","63.1"
"19","Abilene Christian","33","27-6","2082","63.1"
"20","UC Irvine","35","30-5","2216","63.3"
"21","Florida","34","19-15","2164","63.6"
"22","Saint Louis","35","23-12","2231","63.7"
"23","Akron","33","17-16","2107","63.8"
"24","Clemson","33","20-13","2111","64.0"
"25","UMBC","34","21-13","2177","64.0"
"26","New Mexico St.","34","30-4","2181","64.1"
"27","Texas St.","33","24-9","2117","64.2"
"28","UCF","31","23-8","1993","64.3"
"29","Saint Mary's (CA)","33","22-11","2124","64.4"
"30","Washington","34","26-8","2189","64.4"
"31","Southern Miss.","32","20-12","2068","64.6"
"32","Bradley","34","20-14","2209","65.0"
"33","Gonzaga","33","30-3","2147","65.1"
"34","Maryland","32","22-10","2082","65.1"
"","Northwestern","32","13-19","2082","65.1"
"36","Kentucky","33","27-6","2159","65.4"
"37","Michigan St.","34","28-6","2228","65.5"
"38","Davidson","34","24-10","2229","65.6"
"39","UNI","34","16-18","2230","65.6"
"40","Wofford","33","29-4","2165","65.6"
"41","Syracuse","33","20-13","2168","65.7"
"42","Furman","32","25-7","2106","65.8"
"","Stony Brook","32","24-8","2106","65.8"
"44","Jackson St.","32","13-19","2107","65.8"
"45","Siena","33","17-16","2178","66.0"
"46","UC Santa Barbara","32","22-10","2114","66.1"
"47","Dayton","33","21-12","2183","66.2"
"48","Ohio St.","33","19-14","2185","66.2"
"49","Valparaiso","33","15-18","2187","66.3"
"50","N.C. Central","33","18-15","2188","66.3"
"51","Florida A&M","31","12-19","2057","66.4"
"52","A&M-Corpus Christi","32","14-18","2124","66.4"
"53","Nebraska","34","18-16","2257","66.4"
"54","Georgia Tech","32","14-18","2130","66.6"
"55","Nevada","33","29-4","2198","66.6"
"56","Utah St.","34","28-6","2271","66.8"
"57","Purdue","32","23-9","2138","66.8"
"58","Fordham","32","12-20","2141","66.9"
"59","Southern Ill.","32","17-15","2144","67.0"
"","South Fla.","32","19-13","2144","67.0"
"61","Villanova","34","25-9","2281","67.1"
"62","Florida St.","34","27-7","2282","67.1"
"63","Texas","33","17-16","2217","67.2"
"64","Baylor","32","19-13","2150","67.2"
"65","UAB","34","20-14","2287","67.3"
"66","UNC Greensboro","35","29-6","2357","67.3"
"67","San Diego St.","34","21-13","2291","67.4"
"68","Missouri St.","32","16-16","2157","67.4"
"69","Southeastern La.","33","17-16","2228","67.5"
"70","Duke","34","29-5","2297","67.6"
"71","Fresno St.","32","23-9","2162","67.6"
"72","Wright St.","35","21-14","2365","67.6"
"73","Colorado","34","22-12","2301","67.7"
"74","Louisiana Tech","33","20-13","2235","67.7"
"75","Missouri","32","15-17","2168","67.8"
"76","Murray St.","31","27-4","2101","67.8"
"","San Francisco","31","21-10","2101","67.8"
"78","Louisville","33","20-13","2238","67.8"
"79","Rhode Island","33","18-15","2239","67.8"
"80","High Point","31","16-15","2105","67.9"
"81","Indiana","33","18-15","2241","67.9"
"82","Fla. Atlantic","32","17-15","2175","68.0"
"83","Toledo","32","25-7","2178","68.1"
"84","Radford","33","22-11","2247","68.1"
"85","Auburn","35","26-9","2384","68.1"
"86","Wagner","30","13-17","2044","68.1"
"87","Brown","30","19-11","2045","68.2"
"88","San Diego","36","21-15","2455","68.2"
"89","NJIT","34","22-12","2319","68.2"
"90","Oklahoma","32","19-13","2183","68.2"
"91","Penn","31","19-12","2117","68.3"
"92","Iowa St.","34","23-11","2323","68.3"
"","Montana","34","26-8","2323","68.3"
"94","Robert Morris","34","18-16","2326","68.4"
"95","Grambling","33","17-16","2262","68.5"
"96","Boise St.","33","13-20","2263","68.6"
"97","New Hampshire","29","5-24","1990","68.6"
"98","Penn St.","32","14-18","2196","68.6"
"","Saint Peter's","32","10-22","2196","68.6"
"100","Col. of Charleston","33","24-9","2265","68.6"
"101","UC Davis","31","11-20","2128","68.6"
"102","Tennessee","34","29-5","2334","68.6"
"103","Charlotte","29","8-21","1992","68.7"
"104","Pittsburgh","33","14-19","2267","68.7"
"105","Hawaii","31","18-13","2131","68.7"
"106","ETSU","33","24-9","2269","68.8"
"107","Northern Ky.","34","26-8","2338","68.8"
"108","Rutgers","31","14-17","2132","68.8"
"109","Arizona","32","17-15","2205","68.9"
"110","Grand Canyon","33","20-13","2276","69.0"
"","Notre Dame","33","14-19","2276","69.0"
"112","UTEP","29","8-21","2001","69.0"
"","American","30","15-15","2070","69.0"
"114","N.C. A&T","32","19-13","2209","69.0"
"115","Norfolk St.","34","21-13","2348","69.1"
"116","UC Riverside","33","10-23","2279","69.1"
"117","Seattle U","32","18-14","2210","69.1"
"118","Marquette","33","24-9","2280","69.1"
"119","Eastern Mich.","32","15-17","2213","69.2"
"120","Minnesota","34","21-13","2352","69.2"
"121","Jacksonville St.","33","24-9","2283","69.2"
"","Wichita St.","33","19-14","2283","69.2"
"123","Albany (NY)","32","12-20","2216","69.3"
"124","Marist","31","12-19","2147","69.3"
"125","Western Ky.","34","20-14","2355","69.3"
"126","George Mason","33","18-15","2289","69.4"
"127","Lipscomb","33","26-7","2290","69.4"
"128","Sacramento St.","31","15-16","2155","69.5"
"129","Sam Houston St.","32","21-11","2225","69.5"
"130","Holy Cross","33","16-17","2296","69.6"
"131","Northern Colo.","32","21-11","2229","69.7"
"132","Princeton","28","16-12","1951","69.7"
"133","Charleston So.","32","17-15","2230","69.7"
"","New Orleans","32","19-13","2230","69.7"
