"1","ETSU","33","24-9","1320","40.0","975","29.5","10.5"
"2","North Carolina","33","27-6","1437","43.5","1118","33.9","9.7"
"3","New Mexico St.","34","30-4","1304","38.4","979","28.8","9.6"
"4","Michigan St.","34","28-6","1391","40.9","1085","31.9","9.0"
"5","Kentucky","33","27-6","1268","38.4","972","29.5","9.0"
"6","Utah St.","34","28-6","1368","40.2","1066","31.4","8.9"
"7","Maryland","32","22-10","1253","39.2","979","30.6","8.6"
"8","Houston","34","31-3","1391","40.9","1142","33.6","7.3"
"9","UC Irvine","35","30-5","1411","40.3","1155","33.0","7.3"
"10","South Fla.","32","19-13","1246","38.9","1013","31.7","7.3"
"11","Portland St.","32","16-16","1281","40.0","1058","33.1","7.0"
"12","High Point","31","16-15","1183","38.2","970","31.3","6.9"
"13","Lamar University","33","20-13","1282","38.8","1058","32.1","6.8"
"14","UC Santa Barbara","32","22-10","1212","37.9","1000","31.3","6.6"
"15","Saint Louis","35","23-12","1391","39.7","1163","33.2","6.5"
"16","Colorado","34","22-12","1276","37.5","1055","31.0","6.5"
"17","N.C. Central","33","18-15","1233","37.4","1019","30.9","6.5"
"","Wofford","33","29-4","1170","35.5","956","29.0","6.5"
"19","Stony Brook","32","24-8","1303","40.7","1099","34.3","6.4"
"20","Jacksonville St.","33","24-9","1310","39.7","1100","33.3","6.4"
"21","Baylor","32","19-13","1216","38.0","1013","31.7","6.3"
"22","Gonzaga","33","30-3","1275","38.6","1070","32.4","6.2"
"23","Duke","34","29-5","1420","41.8","1212","35.6","6.1"
"24","Texas St.","33","24-9","1249","37.8","1051","31.8","6.0"
"25","DePaul","30","15-15","1125","37.5","956","31.9","5.6"
"26","Saint Mary's (CA)","33","22-11","1146","34.7","965","29.2","5.5"
"27","Bowling Green","34","22-12","1396","41.1","1215","35.7","5.3"
"28","Winthrop","30","18-12","1231","41.0","1073","35.8","5.3"
"29","CSU Bakersfield","31","16-15","1155","37.3","993","32.0","5.2"
"30","Cincinnati","34","28-6","1232","36.2","1055","31.0","5.2"
"31","Purdue","32","23-9","1177","36.8","1011","31.6","5.2"
"32","LSU","32","26-6","1241","38.8","1078","33.7","5.1"
"33","Towson","32","10-22","1182","36.9","1022","31.9","5.0"
"34","Old Dominion","34","26-8","1324","38.9","1156","34.0","4.9"
"35","UNLV","31","17-14","1203","38.8","1050","33.9","4.9"
"36","Virginia","32","29-3","1108","34.6","952","29.8","4.9"
"37","Arizona St.","32","22-10","1279","40.0","1127","35.2","4.8"
"38","South Dakota St.","33","24-9","1259","38.2","1103","33.4","4.7"
"39","Yale","29","22-7","1120","38.6","983","33.9","4.7"
"40","Florida St.","34","27-7","1271","37.4","1112","32.7","4.7"
"41","West Virginia","34","14-20","1339","39.4","1183","34.8","4.6"
"42","North Texas","33","21-12","1246","37.8","1095","33.2","4.6"
"","IUPUI","33","16-17","1234","37.4","1083","32.8","4.6"
"44","Marquette","33","24-9","1256","38.1","1106","33.5","4.5"
"","Vermont","33","27-6","1161","35.2","1011","30.6","4.5"
"46","Toledo","32","25-7","1253","39.2","1109","34.7","4.5"
"47","Lipscomb","33","26-7","1229","37.2","1081","32.8","4.5"
"48","NC State","34","23-11","1313","38.6","1163","34.2","4.4"
"49","Sacred Heart","32","15-17","1231","38.5","1090","34.1","4.4"
"50","Northern Ky.","34","26-8","1259","37.0","1110","32.6","4.4"
"51","Harvard","29","18-11","1043","36.0","916","31.6","4.4"
"52","Xavier","33","18-15","1194","36.2","1054","31.9","4.2"
"53","Utah Valley","34","25-9","1232","36.2","1088","32.0","4.2"
"54","Rutgers","31","14-17","1210","39.0","1081","34.9","4.2"
"55","UCLA","33","17-16","1356","41.1","1219","36.9","4.2"
"56","Buffalo","34","31-3","1396","41.1","1261","37.1","4.0"
"","Colgate","34","24-10","1209","35.6","1074","31.6","4.0"
"58","Fla. Atlantic","32","17-15","1265","39.5","1140","35.6","3.9"
"59","Coastal Caro.","31","15-16","1138","36.7","1018","32.8","3.9"
"60","Missouri","32","15-17","1130","35.3","1008","31.5","3.8"
"61","Murray St.","31","27-4","1175","37.9","1057","34.1","3.8"
"62","Mississippi St.","33","23-10","1181","35.8","1057","32.0","3.8"
"63","Louisville","33","20-13","1262","38.2","1141","34.6","3.7"
"64","UAB","34","20-14","1239","36.4","1116","32.8","3.6"
"65","Radford","33","22-11","1169","35.4","1050","31.8","3.6"
"66","Clemson","33","20-13","1173","35.5","1055","32.0","3.6"
"67","A&M-Corpus Christi","32","14-18","1159","36.2","1045","32.7","3.6"
"68","Belmont","32","27-5","1238","38.7","1125","35.2","3.5"
"69","Navy","31","12-19","1160","37.4","1053","34.0","3.5"
"70","Middle Tenn.","32","11-21","1228","38.4","1118","34.9","3.4"
"71","Georgetown","32","19-13","1268","39.6","1159","36.2","3.4"
"72","Tennessee","34","29-5","1277","37.6","1162","34.2","3.4"
"73","UNCW","33","10-23","1222","37.0","1111","33.7","3.4"
