"1","Gonzaga","32","1","97.0"
"2","Villanova","31","3","91.2"
"3","Arizona","30","4","88.2"
"","SMU","30","4","88.2"
"","Middle Tenn.","30","4","88.2"
"","Wichita St.","30","4","88.2"
"7","UCLA","29","4","87.9"
"8","Kansas","28","4","87.5"
"","Saint Mary's (CA)","28","4","87.5"
"10","Cincinnati","29","5","85.3"
"","Kentucky","29","5","85.3"
"","Oregon","29","5","85.3"
"","UNCW","29","5","85.3"
"","Vermont","29","5","85.3"
"15","New Mexico St.","28","5","84.8"
"16","Nevada","28","6","82.4"
"17","Illinois St.","27","6","81.8"
"18","Winthrop","26","6","81.3"
"19","ETSU","27","7","79.4"
"","Monmouth","27","7","79.4"
"","North Carolina","27","7","79.4"
"22","Princeton","23","6","79.3"
"23","FGCU","26","7","78.8"
"24","Belmont","22","6","78.6"
"25","Baylor","25","7","78.1"
"","Purdue","25","7","78.1"
"27","Dayton","24","7","77.4"
"28","Duke","27","8","77.1"
"29","Akron","26","8","76.5"
"","West Virginia","26","8","76.5"
"","VCU","26","8","76.5"
"","Bucknell","26","8","76.5"
"33","Oakland","25","8","75.8"
"","N.C. Central","25","8","75.8"
"","Florida St.","25","8","75.8"
"","UT Arlington","25","8","75.8"
"37","Louisville","24","8","75.0"
"","Florida","24","8","75.0"
"","Maryland","24","8","75.0"
"40","Butler","23","8","74.2"
"41","Arkansas","25","9","73.5"
"","Creighton","25","9","73.5"
"","Notre Dame","25","9","73.5"
"","UNC Greensboro","25","9","73.5"
"","Wisconsin","25","9","73.5"
"46","Valparaiso","24","9","72.7"
"","Southern California","24","9","72.7"
"","Rhode Island","24","9","72.7"
"","Minnesota","24","9","72.7"
"50","CSU Bakersfield","23","9","71.9"
"","UNC Asheville","23","9","71.9"
"52","Col. of Charleston","25","10","71.4"
"53","North Dakota","22","9","71.0"
"54","Northern Ky.","24","10","70.6"
"55","Louisiana Tech","23","10","69.7"
"","Iowa St.","23","10","69.7"
"57","Virginia Tech","22","10","68.8"
"","South Carolina","22","10","68.8"
"","Virginia","22","10","68.8"
"60","Michigan","24","11","68.6"
"","Colorado St.","24","11","68.6"
"62","Houston","21","10","67.7"
"63","Texas Southern","23","11","67.6"
"","Northwestern","23","11","67.6"
"65","BYU","22","11","66.7"
"","South Dakota","22","11","66.7"
"","Rice","22","11","66.7"
"","Eastern Wash.","22","11","66.7"
"69","UCF","21","11","65.6"
"","Seton Hall","21","11","65.6"
"","Miami (FL)","21","11","65.6"
"","Furman","21","11","65.6"
"73","UC Davis","22","12","64.7"
"","Iona","22","12","64.7"
"75","Boise St.","20","11","64.5"
"","A&M-Corpus Christi","20","11","64.5"
"","Ohio","20","11","64.5"
"78","Harvard","18","10","64.3"
"79","Ball St.","21","12","63.6"
"","Richmond","21","12","63.6"
"","UT Martin","21","12","63.6"
"","Louisiana","21","12","63.6"
"83","North Dakota St.","19","11","63.3"
"84","Kent St.","22","13","62.9"
"85","Utah","20","12","62.5"
"","Georgia St.","20","12","62.5"
"","Lehigh","20","12","62.5"
"","LIU Brooklyn","20","12","62.5"
"","Wright St.","20","12","62.5"
"","Arkansas St.","20","12","62.5"
"","Fresno St.","20","12","62.5"
"","New Hampshire","20","12","62.5"
"","New Orleans","20","12","62.5"
"","Oklahoma St.","20","12","62.5"
"","Providence","20","12","62.5"
"","St. Bonaventure","20","12","62.5"
"","San Francisco","20","12","62.5"
"98","Yale","18","11","62.1"
"99","California","21","13","61.8"
"","Ole Miss","21","13","61.8"
"","Albany (NY)","21","13","61.8"
"","Kansas St.","21","13","61.8"
"","Xavier","21","13","61.8"
"","Sam Houston St.","21","13","61.8"
"105","Old Dominion","19","12","61.3"
"","Purdue Fort Wayne","19","12","61.3"
"","Marquette","19","12","61.3"
"","Chattanooga","19","12","61.3"
"109","Troy","22","14","61.1"
"110","George Mason","20","13","60.6"
"","Liberty","20","13","60.6"
"","Lipscomb","20","13","60.6"
"","Texas St.","20","13","60.6"
"","Towson","20","13","60.6"
"115","UC Irvine","21","14","60.0"
"","UMBC","18","12","60.0"
"117","Weber St.","19","13","59.4"
"","Saint Peter's","19","13","59.4"
"","Memphis","19","13","59.4"
"120","Jacksonville St.","20","14","58.8"
"121","Stony Brook","18","13","58.1"
"","Green Bay","18","13","58.1"
"","Idaho","18","13","58.1"
"124","Colorado","19","14","57.6"
"","George Washington","19","14","57.6"
"","Gardner-Webb","19","14","57.6"
"","Georgia","19","14","57.6"
"","Illinois","19","14","57.6"
"","Lamar University","19","14","57.6"
"","Wake Forest","19","14","57.6"
"","Michigan St.","19","14","57.6"
"","San Diego St.","19","14","57.6"
"133","Marshall","20","15","57.1"
"","Samford","20","15","57.1"
"","Mt. St. Mary's","20","15","57.1"
"136","Tennessee St.","17","13","56.7"
"137","Auburn","18","14","56.3"
"","Boston U.","18","14","56.3"
"","Ga. Southern","18","14","56.3"
"","Iowa","18","14","56.3"
"","Elon","18","14","56.3"
"","Loyola Chicago","18","14","56.3"
"","Omaha","18","14","56.3"
"","SFA","18","14","56.3"
"","Syracuse","18","14","56.3"
"","Texas Tech","18","14","56.3"
"","Alcorn","18","14","56.3"
"","Wyoming","18","14","56.3"
"149","Alabama","19","15","55.9"
"","TCU","19","15","55.9"
"","Vanderbilt","19","15","55.9"
"152","Cal St. Fullerton","17","14","54.8"
"","William & Mary","17","14","54.8"
"","New Mexico","17","14","54.8"
"","Houston Baptist","17","14","54.8"
"156","Rider","18","15","54.5"
"","Georgia Tech","18","15","54.5"
"158","Denver","16","14","53.3"
"","Wagner","16","14","53.3"
"","Fairfield","16","14","53.3"
"161","USC Upstate","17","15","53.1"
"","Davidson","17","15","53.1"
"","Ohio St.","17","15","53.1"
"","Buffalo","17","15","53.1"
"165","Canisius","18","16","52.9"
"","South Dakota St.","18","16","52.9"
"","Indiana","18","16","52.9"
"168","Texas A&M","16","15","51.6"
"169","Clemson","17","16","51.5"
"","Jacksonville","17","16","51.5"
"","UMKC","17","16","51.5"
"","Toledo","17","16","51.5"
"","Santa Clara","17","16","51.5"
"","Southern Ill.","17","16","51.5"
"","Missouri St.","17","16","51.5"
"","UAB","17","16","51.5"
"","Saint Francis (PA)","17","16","51.5"
"178","Campbell","18","17","51.4"
"179","Norfolk St.","17","17","50.0"
"","Siena","17","17","50.0"
"","Mississippi St.","16","16","50.0"
"","Montana","16","16","50.0"
"","Tennessee","16","16","50.0"
"","Navy","16","16","50.0"
"","Western Mich.","16","16","50.0"
"","Central Mich.","16","16","50.0"
"","Montana St.","16","16","50.0"
"","Temple","16","16","50.0"
"","Southeastern La.","16","16","50.0"
"","La Salle","15","15","50.0"
"","Loyola Marymount","15","15","50.0"
"192","Coastal Caro.","16","17","48.5"
"","Grambling","16","17","48.5"
"","Evansville","16","17","48.5"
"","Pittsburgh","16","17","48.5"
"","Wofford","16","17","48.5"
"","Murray St.","16","17","48.5"
"","Eastern Mich.","16","17","48.5"
"","UConn","16","17","48.5"
"200","Loyola Maryland","15","16","48.4"
"","Utah Valley","15","16","48.4"
"","Northeastern","15","16","48.4"
"","Portland St.","15","16","48.4"
"","High Point","15","16","48.4"
"205","Eastern Ill.","14","15","48.3"
"206","Hofstra","15","17","46.9"
"","UTEP","15","17","46.9"
"","Holy Cross","15","17","46.9"
"","Northern Ill.","15","17","46.9"
"","Little Rock","15","17","46.9"
"","Western Ky.","15","17","46.9"
"","Mercer","15","17","46.9"
"","Tulsa","15","17","46.9"
"","NC State","15","17","46.9"
"215","San Jose St.","14","16","46.7"
"","UNI","14","16","46.7"
"","Morehead St.","14","16","46.7"
"","Morgan St.","14","16","46.7"
"","Hampton","14","16","46.7"
"","Hawaii","14","16","46.7"
"221","Penn","13","15","46.4"
"222","Arizona St.","15","18","45.5"
"","UIC","15","18","45.5"
"","East Carolina","15","18","45.5"
"","Massachusetts","15","18","45.5"
"","Penn St.","15","18","45.5"
"","Southern U.","15","18","45.5"
"","Southeast Mo. St.","15","18","45.5"
"","Rutgers","15","18","45.5"
"230","Stanford","14","17","45.2"
"","Utah St.","14","17","45.2"
"","Nicholls St.","14","17","45.2"
"233","Northwestern St.","13","16","44.8"
"","Savannah St.","13","16","44.8"
"235","Long Beach St.","15","19","44.1"
"","North Florida","15","19","44.1"
"237","Kennesaw St.","14","18","43.8"
"","South Alabama","14","18","43.8"
"","Radford","14","18","43.8"
"","Georgetown","14","18","43.8"
"","IUPUI","14","18","43.8"
"","Jackson St.","14","18","43.8"
"243","Seattle U","13","17","43.3"
"","Charlotte","13","17","43.3"
"","Brown","13","17","43.3"
"246","Robert Morris","14","19","42.4"
"","UTSA","14","19","42.4"
"","St. John's (NY)","14","19","42.4"
"249","Washington St.","13","18","41.9"
"","Sacramento St.","13","18","41.9"
"","San Diego","13","18","41.9"
"252","UMES","14","20","41.2"
"253","Columbia","11","16","40.7"
"254","Bowling Green","13","19","40.6"
"","Sacred Heart","13","19","40.6"
"","Army West Point","13","19","40.6"
"","Fordham","13","19","40.6"
"258","Bradley","13","20","39.4"
"","Prairie View","13","20","39.4"
"","Delaware","13","20","39.4"
"261","Charleston So.","12","19","38.7"
"","Nebraska","12","19","38.7"
"","Eastern Ky.","12","19","38.7"
"264","Youngstown St.","13","21","38.2"
"265","Northern Colo.","11","18","37.9"
"266","Tennessee Tech","12","20","37.5"
"","Binghamton","12","20","37.5"
"","Bryant","12","20","37.5"
"269","CSUN","11","19","36.7"
"","Fairleigh Dickinson","11","19","36.7"
"","Austin Peay","11","19","36.7"
"272","Saint Louis","12","21","36.4"
"","Air Force","12","21","36.4"
"","The Citadel","12","21","36.4"
"275","Cal Poly","11","20","35.5"
"","Indiana St.","11","20","35.5"
"","South Carolina St.","11","20","35.5"
"","Oklahoma","11","20","35.5"
"","Saint Joseph's","11","20","35.5"
"","NJIT","11","20","35.5"
"281","Miami (OH)","11","21","34.4"
"","Stetson","11","21","34.4"
"","UNLV","11","21","34.4"
"284","Pacific","11","22","33.3"
"","Texas","11","22","33.3"
"","Portland","11","22","33.3"
"","Fla. Atlantic","10","20","33.3"
"288","Quinnipiac","10","21","32.3"
"","LSU","10","21","32.3"
"290","Milwaukee","11","24","31.4"
"291","Colgate","10","22","31.3"
"","Delaware St.","10","22","31.3"
"","UTRGV","10","22","31.3"
"","Manhattan","10","22","31.3"
"","Bethune-Cookman","10","22","31.3"
"","Duquesne","10","22","31.3"
"297","James Madison","10","23","30.3"
"","Niagara","10","23","30.3"
"299","Lafayette","9","21","30.0"
"","Appalachian St.","9","21","30.0"
"301","Howard","10","24","29.4"
"302","Southern Miss.","9","22","29.0"
"","Pepperdine","9","22","29.0"
"","Cleveland St.","9","22","29.0"
"","Washington","9","22","29.0"
"306","Western Ill.","8","20","28.6"
"307","Hartford","9","23","28.1"
"","DePaul","9","23","28.1"
"","Northern Ariz.","9","23","28.1"
"","Western Caro.","9","23","28.1"
"","Boston College","9","23","28.1"
"","Drexel","9","23","28.1"
"313","Cornell","8","21","27.6"
"314","La.-Monroe","9","24","27.3"
"315","American","8","22","26.7"
"","Oral Roberts","8","22","26.7"
"","North Texas","8","22","26.7"
"318","Dartmouth","7","20","25.9"
"319","Detroit Mercy","8","23","25.8"
"","Alabama St.","8","23","25.8"
"321","Missouri","8","24","25.0"
"","Central Ark.","8","24","25.0"
"","Coppin St.","8","24","25.0"
"","Marist","8","24","25.0"
"","UC Riverside","7","21","25.0"
"326","McNeese","7","22","24.1"
"327","South Fla.","7","23","23.3"
"","Florida A&M","7","23","23.3"
"329","Drake","7","24","22.6"
"","FIU","7","24","22.6"
"331","Maine","7","25","21.9"
"","Ark.-Pine Bluff","7","25","21.9"
"","Mississippi Val.","7","25","21.9"
"334","UC Santa Barbara","6","22","21.4"
"335","Central Conn. St.","6","23","20.7"
"336","VMI","6","24","20.0"
"","SIUE","6","24","20.0"
"","Longwood","6","24","20.0"
"339","Tulane","6","25","19.4"
"340","Chicago St.","6","26","18.8"
"341","Southern Utah","6","27","18.2"
"342","Presbyterian","5","25","16.7"
"343","Idaho St.","5","26","16.1"
"344","Oregon St.","5","27","15.6"
"345","St. Francis Brooklyn","4","27","12.9"
"346","N.C. A&T","3","29","9.4"
"347","Alabama A&M","2","27","6.9"
Reclassifying
"NR","Grand Canyon","22","9","71.0"
"NR","Abilene Christian","13","16","44.8"
"NR","Incarnate Word","12","17","41.4"
"NR","UMass Lowell","11","20","35.5"
