"1","West Virginia","34","26-8","695","417","8.2"
"2","UNC Asheville","32","23-9","532","369","5.1"
"3","Holy Cross","32","15-17","508","351","4.9"
"4","Portland St.","31","15-16","527","376","4.9"
"5","Fordham","32","13-19","561","418","4.5"
"6","UNCW","34","29-5","498","354","4.2"
"7","Iowa St.","33","23-10","474","335","4.2"
"8","Eastern Mich.","33","16-17","532","399","4.0"
"9","Houston","31","21-10","428","305","4.0"
"10","South Carolina","32","22-10","552","428","3.9"
"11","Grambling","33","16-17","577","450","3.8"
"12","Liberty","33","20-13","472","347","3.8"
"13","Cincinnati","34","29-5","466","340","3.7"
"14","Michigan","35","24-11","453","330","3.5"
"15","Princeton","29","23-6","388","289","3.4"
"16","Butler","31","23-8","420","315","3.4"
"17","Notre Dame","34","25-9","435","321","3.4"
"18","Virginia","32","22-10","411","305","3.3"
"19","Southeast Mo. St.","33","15-18","518","410","3.3"
"20","The Citadel","33","12-21","579","473","3.2"
"21","Florida","32","24-8","480","378","3.2"
"22","South Alabama","32","14-18","520","419","3.2"
"23","Middle Tenn.","34","30-4","458","354","3.1"
"24","Eastern Ill.","29","14-15","458","370","3.0"
"25","Dayton","31","24-7","463","370","3.0"
"26","Clemson","33","17-16","451","354","2.9"
"27","Arizona St.","33","15-18","439","344","2.9"
"28","Wichita St.","34","30-4","475","379","2.8"
"29","Stony Brook","31","18-13","404","318","2.8"
"30","Lamar University","33","19-14","532","444","2.7"
"31","Richmond","33","21-12","471","385","2.6"
"32","Sam Houston St.","34","21-13","554","466","2.6"
"33","Louisville","32","24-8","439","357","2.6"
"","Loyola Chicago","32","18-14","459","377","2.6"
"35","Kentucky","34","29-5","496","409","2.6"
"36","Cleveland St.","31","9-22","484","405","2.5"
"37","Florida St.","33","25-8","474","390","2.5"
"38","Texas Tech","32","18-14","435","354","2.5"
"39","UNI","30","14-16","415","342","2.4"
"40","A&M-Corpus Christi","31","20-11","496","422","2.4"
"41","St. Bonaventure","32","20-12","475","401","2.3"
"42","Saint Peter's","32","19-13","426","354","2.3"
"43","CSU Bakersfield","32","23-9","546","476","2.2"
"44","Monmouth","34","27-7","498","425","2.1"
"","Oregon","34","29-5","467","394","2.1"
"","VCU","34","26-8","499","426","2.1"
"47","Oklahoma St.","32","20-12","489","422","2.1"
"","Memphis","32","19-13","435","368","2.1"
"49","Santa Clara","33","17-16","410","341","2.1"
"50","Villanova","34","31-3","452","381","2.1"
"51","St. John's (NY)","33","14-19","501","433","2.1"
"52","Wisconsin","34","25-9","442","373","2.0"
"53","Prairie View","33","13-20","502","436","2.0"
"","Bowling Green","32","13-19","472","408","2.0"
"55","Texas St.","33","20-13","448","383","2.0"
"56","Col. of Charleston","35","25-10","432","364","1.9"
"57","Kansas St.","34","21-13","512","446","1.9"
"58","Rhode Island","33","24-9","434","370","1.9"
"59","North Dakota","31","22-9","473","413","1.9"
"60","Ga. Southern","32","18-14","440","379","1.9"
"61","Texas Southern","34","23-11","458","394","1.9"
"62","Montana","32","16-16","404","345","1.8"
"63","Canisius","34","18-16","508","446","1.8"
"64","N.C. Central","33","25-8","456","397","1.8"
"","South Dakota","33","22-11","449","390","1.8"
"","Jacksonville","33","17-16","483","424","1.8"
"67","Vermont","34","29-5","443","383","1.8"
"68","St. Francis Brooklyn","31","4-27","433","379","1.7"
"69","North Carolina","34","27-7","464","405","1.7"
"70","Loyola Marymount","30","15-15","447","395","1.7"
"71","Penn St.","33","15-18","487","430","1.7"
"72","Bethune-Cookman","32","10-22","467","413","1.7"
"73","Old Dominion","31","19-12","400","348","1.7"
"74","Creighton","34","25-9","481","424","1.7"
"75","Southern Ill.","33","17-16","453","398","1.7"
"","Louisiana","33","21-12","495","440","1.7"
